wildcard;diameter;left_pair;right_pair
microsoft.aad*/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad/*s/read;2;microsoft/aad/operations/read;microsoft/aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.aad*s/delete;1;microsoft/aad/domainservices/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad*/delete;1;microsoft/aad/domainservices/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad*/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad*/write;1;microsoft/aad/domainservices/oucontainer/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad*osticsettings/read;1;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad*sticsettings/write;1;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad*s/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad*ions/read;2;microsoft/aad/operations/read;microsoft/aad/domainservices/providers/microsoft/insights/logdefinitions/read
microsoft.aad*s/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad*s/write;1;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad/locations/operationresults/read;;microsoft.aad/locations/operationresults/read;microsoft.aad/locations/operationresults/read
microsoft.aad/*er/action;2;microsoft/aad/register/action;microsoft/aad/unregister/action
microsoft.aad/*;2;microsoft/aad/operations/read;microsoft/aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.adhybridhealthservice/*vices/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridhea*icemembers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservice*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/*nfiguration/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*rvices/delete;2;microsoft/adhybridhealthservice/addsservices/delete;microsoft/adhybridhealthservice/services/delete
microsoft.adhybridhealthse*ns/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservice/addsservices/features/userpreference/read;;microsoft.adhybridhealthservice/addsservices/features/userpreference/read;microsoft.adhybridhealthservice/addsservices/features/userpreference/read
microsoft.adhybridhealthservice/*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*services/metricmetadata/read;2;microsoft/adhybridhealthservice/addsservices/metricmetadata/read;microsoft/adhybridhealthservice/services/metricmetadata/read
microsoft.adhybridhealthservice*services/metrics/groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthservice/*check/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice*ervices/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/read
microsoft.adhybridhealthservice*ls/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice*tus/read;2;microsoft/adhybridhealthservice/addsservices/replicationstatus/read;microsoft/adhybridhealthservice/services/exportstatus/read
microsoft.adhyb*y/read;2;microsoft/adhybridhealthservice/addsservices/forestsummary/read;microsoft/adhybridhealthservice/reports/badpassworduseridipfrequency/read
microsoft.adhybridhealthservic*ces/servicemembers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservice/*emembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservic*ices/servicemembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhealthservice/*/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/configuration/write
microsoft.adhybridhealthservic*/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservic*n/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*guration/write;2;microsoft/adhybridhealthservice/configuration/write;microsoft/adhybridhealthservice/services/monitoringconfiguration/write
microsoft.adhybridhealthser*ts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservi*gs/read;2;microsoft/adhybridhealthservice/logs/read;microsoft/adhybridhealthservice/services/ipaddressaggregatesettings/read
microsoft.adhybridhealthservice/*ions/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
