wildcard;diameter;left_pair;right_pair
microsoft.aad*/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read;;microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read;microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.aad*s/delete;1;microsoft/aad/domainservices/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad*/delete;1;microsoft/aad/domainservices/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad/domainservices/oucontainer/read;;microsoft.aad/domainservices/oucontainer/read;microsoft.aad/domainservices/oucontainer/read
microsoft.aad*/write;1;microsoft/aad/domainservices/oucontainer/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad*/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/write;;microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/write;microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/write
microsoft.aad*ions/read;2;microsoft/aad/operations/read;microsoft/aad/domainservices/providers/microsoft/insights/logdefinitions/read
microsoft.aad/*ns/read;2;microsoft/aad/operations/read;microsoft/aad/domainservices/providers/microsoft/insights/logdefinitions/read
microsoft.aad/*s/read;2;microsoft/aad/operations/read;microsoft/aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.aad*/write;1;microsoft/aad/domainservices/oucontainer/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad/locations/operationresults/read;;microsoft.aad/locations/operationresults/read;microsoft.aad/locations/operationresults/read
microsoft.aad/*r/action;2;microsoft/aad/register/action;microsoft/aad/unregister/action
microsoft.aad/*;2;microsoft/aad/operations/read;microsoft/aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.adhybridhealthservice/*ces/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridhealthserv*cemembers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservice/*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*configuration/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*s/delete;2;microsoft/adhybridhealthservice/addsservices/delete;microsoft/adhybridhealthservice/services/delete
microsoft.adhybridhealthservi*ions/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservice/*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthse*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservic*metricmetadata/read;2;microsoft/adhybridhealthservice/addsservices/metricmetadata/read;microsoft/adhybridhealthservice/services/metricmetadata/read
microsoft.adhybridhealthservi*metrics/groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthservice/*emiumcheck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice/*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthserv*tails/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice/*tatus/read;2;microsoft/adhybridhealthservice/addsservices/replicationstatus/read;microsoft/adhybridhealthservice/services/exportstatus/read
microsoft.adhybridhealthserv*y/read;2;microsoft/adhybridhealthservice/addsservices/forestsummary/read;microsoft/adhybridhealthservice/reports/badpassworduseridipfrequency/read
microsoft.adhybridhealthservice/*servicemembers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservice/*ices/servicemembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservice*rvicemembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhealthservice/*ces/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/services/write
microsoft.adhybridhealthservice*/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservice/*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*on/write;2;microsoft/adhybridhealthservice/configuration/write;microsoft/adhybridhealthservice/services/monitoringconfiguration/write
microsoft.adhybridhealthservice/*ents/read;2;microsoft/adhybridhealthservice/logs/contents/read;microsoft/adhybridhealthservice/reports/availabledeployments/read
microsoft.adhybridhealthservic*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/*ions/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservice*/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservic*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/reports/badpassword/read;;microsoft.adhybridhealthservice/reports/badpassword/read;microsoft.adhybridhealthservice/reports/badpassword/read
microsoft.adhy*y/read;2;microsoft/adhybridhealthservice/addsservices/forestsummary/read;microsoft/adhybridhealthservice/reports/badpassworduseridipfrequency/read
microsoft.adhybridhealthse*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealth*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridh*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhe*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*ices/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridhealthservice/*es/alerts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/services/alerts/read
microsoft.adhybridhe*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*ervices/delete;2;microsoft/adhybridhealthservice/addsservices/delete;microsoft/adhybridhealthservice/services/delete
microsoft.adhybridhealthservi*rs/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/exporterrors/read
microsoft.adhybridhealt*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*ck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/feedbacktype/feedback/read
microsoft.adhybridheal*gs/read;2;microsoft/adhybridhealthservice/logs/read;microsoft/adhybridhealthservice/services/ipaddressaggregatesettings/read
microsoft.adhybridhealt*/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/configuration/write
microsoft.adhybridhealthser*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice*a/read;2;microsoft/adhybridhealthservice/addsservices/metricmetadata/read;microsoft/adhybridhealthservice/services/metricmetadata/read
microsoft.adhybridhealthservice/*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*oups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybri*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*onfiguration/write;2;microsoft/adhybridhealthservice/configuration/write;microsoft/adhybridhealthservice/services/monitoringconfiguration/write
microsoft.adhybridhealthservice/*ions/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservic*/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/configuration/write
microsoft.adhybridhealthservice/*ices/premiumcheck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice/*ces/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/read
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*ils/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice/services/reports/generatebloburi/action;;microsoft.adhybridhealthservice/services/reports/generatebloburi/action;microsoft.adhybridhealthservice/services/reports/generatebloburi/action
microsoft.adhybridhealthservice/*ers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservice*s/alerts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/services/alerts/read
microsoft.adhybridhealthservice/*ces/servicemembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read;;microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read;microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read
microsoft.adhybridhealthservice*emembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservic*groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
