wildcard;diameter;left_pair;right_pair
microsoft.aad*s/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read;;microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read;microsoft.aad/domainservices/outboundnetworkdependenciesendpoints/read
microsoft.aad*s/delete;1;microsoft/aad/domainservices/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad/domainserv*/delete;3;microsoft/aad/domainservices/delete;microsoft/aad/domainservices/oucontainer/delete
microsoft.aad/domainservices/oucontainer/read;;microsoft.aad/domainservices/oucontainer/read;microsoft.aad/domainservices/oucontainer/read
microsoft.aad*/write;1;microsoft/aad/domainservices/oucontainer/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/read;;microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/read;microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings/read
microsoft.aad/domainser*s/write;3;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/write;microsoft/aad/domainservices/write
microsoft.aad/domainservices/providers/microsoft.insights*finitions/read;6;microsoft/aad/domainservices/providers/microsoft/insights/logdefinitions/read;microsoft/aad/domainservices/providers/microsoft/insights/metricdefinitions/read
microsoft.aad/domainservices/providers/microsoft.insights*/read;6;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/read;microsoft/aad/domainservices/providers/microsoft/insights/logdefinitions/read
microsoft.aad/domainservice*/read;3;microsoft/aad/domainservices/outboundnetworkdependenciesendpoints/read;microsoft/aad/domainservices/oucontainer/read
microsoft.aad*/write;1;microsoft/aad/domainservices/oucontainer/write;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aad/locations/operationresults/read;;microsoft.aad/locations/operationresults/read;microsoft.aad/locations/operationresults/read
microsoft.aad*er/action;2;microsoft/aad/register/action;microsoft/aad/unregister/action
microsoft.aad/*ster/action;2;microsoft/aad/register/action;microsoft/aad/unregister/action
microsoft.adhybridhealthservice/*services/action;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/services/action
microsoft.adhybridheal*emembers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservice*ervices/alerts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/services/alerts/read
microsoft.adhybridhealthservice/*iguration/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservi*ices/delete;2;microsoft/adhybridhealthservice/addsservices/delete;microsoft/adhybridhealthservice/services/delete
microsoft.adhybridhealthservice/*ns/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealt*e/read;2;microsoft/adhybridhealthservice/addsservices/features/userpreference/read;microsoft/adhybridhealthservice/services/metrics/groups/average/read
microsoft.adhybridhealthservice/*y/read;2;microsoft/adhybridhealthservice/addsservices/forestsummary/read;microsoft/adhybridhealthservice/reports/badpassworduseridipfrequency/read
